PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40063100,Preclinical investigation of anti-tumor efficacy of allogeneic natural killer cells combined with cetuximab for head and neck squamous cell carcinoma.,2025,N/A,N/A,N/A
40063049,Cell-based Immunotherapy in Esophageal Cancer.,2025,N/A,N/A,N/A
40063046,Prostate Cancer: A Review.,2025,N/A,N/A,N/A
40062998,Safe prescribing in cancer patients during the COVID-19 pandemic and outcomes following restart of cancer care following SARS-CoV-2 infection: The COV-SPOT initiative.,2025,N/A,N/A,N/A
40062947,A Nd-Yb ratiometric luminescent nanothermometer for assessing thermal resistance discrepancies between A549 and BEAS-2B cells to achieve selective hyperthermia.,2025,N/A,N/A,N/A
40062910,Phototherapeutic activity of polypyridyl ruthenium(II) complexes through synergistic action of nitric oxide and singlet oxygen.,2025,N/A,N/A,N/A
40062779,Convection-Enhanced Delivery of Auristatin-Conjugated Layer-by-Layer Nanoparticles for Glioblastoma Treatment.,2025,N/A,N/A,N/A
40062727,A Novel Prognostic Risk-Scoring Model Based on RAS Gene-Associated Cluster in Pediatric Acute Myeloid Leukemia.,"{'Year': '2025', 'Month': 'Mar'}",N/A,N/A,N/A
40062717,Radionuclide-activated luminescence for cancer theranostics.,2025,N/A,N/A,N/A
40062712,"TRESK background potassium channel regulates MrgprA3+ pruriceptor excitability, acute and chronic itch.",2025,N/A,N/A,N/A
